1782181782,0.077,4,0.95
1782181783,0.077,4,0.95
1782181783,0.077,4,0.95
1782181783,0.284709,4,0.95
1782181783,0.284709,4,0.95
1782181783,0.284709,4,0.95
1782181783,0.576949,4,0.95
1782181783,0.576949,4,0.95
1782181783,0.576949,4,0.95
1782181783,0.934368,4,0.95
1782181783,0.934368,4,0.95
1782181784,0.934368,4,0.95
1782181784,1.34069,4,0.95
1782181784,1.34069,4,0.95
1782181784,1.34069,4,0.95
1782181784,1.78381,4,0.95
1782181784,1.78381,4,0.95
1782181784,1.78381,4,0.95
1782181784,2.25456,4,0.95
1782181784,2.25456,4,0.95
1782181784,2.25456,4,0.95
1782181785,2.74603,4,0.95
1782181785,2.74603,4,0.95
1782181785,2.74603,4,0.95
1782181785,3.25299,4,0.95
1782181785,3.25299,4,0.95
